class,cls_name
0,台灣氣候氣象與海洋資訊
1,國際商業企業與服務業相關政策
2,台灣半導體與電子、晶片材料領域
3,國內外智慧產品與平台
4,碳循環與綠色資源材料
5,運動產業及紡織品工業
6,創意與智慧科技教育
7,生技生醫與醫藥材
8,企業及個人之智財專利
9,水產、林業之物種資源
10,地震及災害之建築工程設計
11,人文社會與科學學術領域
12,太陽能及智慧綠能
13,基因與分子科技
14,機械設計與設備
15,航太與交通科技
16,電視電影相關影視產業
17,奈米產品與技術
18,健保與疾病相關政策
19,傳染病及疫苗生技
20,行動網路通訊設備
21,電子物流及網路電商
22,雲端資訊與網路經濟
23,資安防護
24,科技政策成果與績效
25,校園食品資訊及制度
26,太空衛星作業
27,核能及輻射放射性物質與設施
28,科技農業與農產品
29,智慧行動商務
30,國際企業與團隊
31,巨量資料分析
32,癌症與腫瘤生技藥物
33,再生水與地下水資源
34,高齡社會與身心障礙
35,輻射作業環境相關規範
36,火山區域與地震斷層
37,台灣藝術及文化產業
38,畜牧與農業
39,水質、空氣等環境污染