計劃名稱,True Label,Predict Label
建立多模組運輸事故調查能量計畫(1/4),警政與法務,智慧交通
整合智慧讀表平台發展計畫(1/4),能源;國家標準檢驗,AI、雲端、巨量資料
產業升級轉型行動計畫(1/4),傳統產業高值化,傳統產業高值化
加速行動寬頻服務及產業發展計畫(1/3)-推動中小企業4G行動商務應用服務計畫,電商與物流,電商與物流
地價查估技術精進與實價登錄資料應用發展計畫(4/5),數位轉型與智慧政府,數位轉型與智慧政府
生技醫藥國家型科技計畫 - 研究群組暨資源中心年度綱要計畫(5/6),生技醫藥與精準醫療,生技醫藥與精準醫療
基礎科學研究計畫(1/1),科研計畫補助,科研計畫補助
強化坡地環境地質與防災應用(4/4),災害防救,災害防救;氣候變遷與減碳
海空運輸系統營運效能與技術提升科技研發計畫(1/4),智慧交通,智慧交通
建構民生公共物聯網(2/4),災害防救;物聯網,災害防救;物聯網
智能電動車輛產業推動計畫(1/4),運輸載具,運輸載具
打開歷史任意門：臺灣歷史創新科技體驗建置計畫(3/4),文化,文化
實驗動物模式暨轉譯醫學之研究(4/6),生技醫藥與精準醫療,生技醫藥與精準醫療
製造智慧化關鍵技術躍升綱要計畫(4/4),智慧製造,智慧製造
強化偏鄉地區5G寬頻服務與涵蓋─補助業者於偏鄉地區建置行動寬頻基地臺計畫(1/5),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G
建構民生公共物聯網計畫(3/4),災害防救;物聯網,災害防救;物聯網
重要活動斷層構造特性調查研究(4/4),災害防救,災害防救
新世代化學材料產業輔導與推廣計畫(3/4),化工材料與循環經濟,化工材料與循環經濟
水旱災整備及應變科技之研究(4/4),災害防救,災害防救
強地動觀測第5期計畫(1/6)-強震即時警報於防災之應用,災害防救,災害防救
加速肝功能量化正子造影劑之產業化(3/4),生技醫藥與精準醫療,生技醫藥與精準醫療
銀髮智慧長照及科技服務創新模式開發計畫(3/4),智慧醫療,智慧醫療
醫衛生命科技研究綱要計畫(1/4),生技醫藥與精準醫療,生技醫藥與精準醫療
國家度量衡標準實驗室整體運作及發展計畫(3/4),國家標準檢驗,國家標準檢驗
加速行動寬頻服務及產業發展計畫(2/3)-推廣校園4G創新應用服務,網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G
奈米國家型科技計畫-奈米技術產業化推動計畫(6/6),化工材料與循環經濟,
區域性儲能設備技術示範驗證計畫(4/4),能源,能源
永續提供高品質醫療服務(1/4),長照與社會福利,長照與社會福利
醫療感染控制發展計畫(3/4),防疫,防疫
生技醫藥國家型科技計畫-核心設施及產業推動(5/6),生技醫藥與精準醫療,生技醫藥與精準醫療
智慧創新研究中心推升計畫(4/5),AI、雲端、巨量資料,AI、雲端、巨量資料
產業創新價值卓越計畫(3/4),中小（堅）企業輔導,中小（堅）企業輔導
商業服務業經濟情勢分析與我國策略規劃(4/4),政策規劃與推動,中小（堅）企業輔導
強化區域合作─推動中南部智慧機械及航太產業升級計畫(2/4),太空/衛星;智慧製造,太空/衛星;智慧製造
水體環境污染感測、鑑識調查與物聯網應用研究開發計畫(3/4),環境監測與污染防治,環境監測與污染防治
健康雲跨領域研究：巨量健康資訊科技之研發與應用(1/4),生技醫藥與精準醫療,生技醫藥與精準醫療
商業服務價值提升計畫(2/4),中小（堅）企業輔導,中小（堅）企業輔導
低碳排放之無機聚合綠色水泥及混凝土製備研究(1/4),化工材料與循環經濟,化工材料與循環經濟
學校防減災及氣候變遷調適教育精進計畫(2/4),災害防救,災害防救
深耕工業基礎技術專案計畫(3/4),產業人才培育,產業人才培育
永續林業與生物多樣性綱要計畫(1/4),氣候變遷與減碳,氣候變遷與減碳
海洋防災科技及永續發展計畫(2/4),災害防救,災害防救
能源國家型科技計畫-纖維酒精產業推廣平台及加值化生質精煉技術之研發(2/5),能源,能源
海洋科技發展計畫(2/4),海洋科技,海洋科技
自動駕駛感知次系統攻堅計畫(3/4),自動駕駛,自動駕駛
跨域數位人才加速躍升計畫(2/4),產業人才培育,產業人才培育
關務服務資源整合計畫(2/4),數位轉型與智慧政府,數位轉型與智慧政府
企業創新研發淬鍊及產學研價值創造綱要計畫(4/4),工研院與A+,工研院與A+
核設施除役產生放射性廢棄物處理與處置技術研發(2/4),能源,能源
擴大中小企業5G創新服務應用計畫(1/5),數位轉型與智慧政府,數位轉型與智慧政府
培育優秀學者養成計畫(1/4),人才補助與延攬,人才補助與延攬
「提昇法醫鑑識量能計畫」(1/4),警政與法務,警政與法務
研發成果推廣及科學園區業務推動計畫(1/1),創新創業,創新創業
區域創新走廊產業科技發展綱要計畫(3/4),傳統產業高值化,氣候變遷與減碳
中小企業行動支付普及推升計畫(1/4),數位轉型與智慧政府,數位轉型與智慧政府
國立科學工業園區實驗高級中學綠能科技教學拓展計畫(1/1),校園人才培育,校園人才培育
科技計畫規劃與管理計畫(2/4),政策規劃與推動,政策規劃與推動
民生產業轉型輔導計畫(1/4),傳統產業高值化,傳統產業高值化
學校防減災及氣候變遷調適教育精進計畫(1/4),災害防救,災害防救
新一代數位學習計畫(4/4),數位學習,數位學習
文化科技創新應用研究計畫(1/1),文化,文化
生醫產業與新農業跨領域人才培育計畫(1/4),產業人才培育;生技醫藥與精準醫療,產業人才培育;生技醫藥與精準醫療
110年度「節約能源技術研發計畫」(3/3),能源,能源
餐飲業科技應用推動計畫(1/1),中小（堅）企業輔導,中小（堅）企業輔導
商業場域科技應用示範推動計畫(1/4),中小（堅）企業輔導,中小（堅）企業輔導
107年度「能源效率管理與節能技術推廣輔導」(1/1),能源,能源
推動工業合作計畫(2/4),國防;運輸載具,國防;運輸載具
創新醫療器材計畫(3/4),生技醫藥與精準醫療,生技醫藥與精準醫療
智財布局及戰略研析推動計畫(3/4),專利與智財,專利與智財
AI領航推動計畫(1/4),AI、雲端、巨量資料,AI、雲端、巨量資料
建置國家級人體生物資料庫整合平台(2/4),生技醫藥與精準醫療,生技醫藥與精準醫療
離岸風場區塊開發海域環境建構計畫(2/4),能源,能源
加速肝功能量化正子造影劑之產業化(4/4),生技醫藥與精準醫療,生技醫藥與精準醫療
低碳運輸系統發展計畫(1/4),氣候變遷與減碳,氣候變遷與減碳
數位學習深耕計畫(1/4),數位學習,數位學習
商業行政資訊雲端應用擴充及效能提升計畫(1/4),數位轉型與智慧政府,數位轉型與智慧政府
錸-188MN-16ET/利比多肝癌治療新藥之開發與應用研究(4/4),生技醫藥與精準醫療,生技醫藥與精準醫療
再生能源憑證中心及檢測驗證發展計畫(2/4),能源;國家標準檢驗,能源;國家標準檢驗
台灣光子源周邊實驗設施興建計畫(1/1),科研設施,科研設施
生物技術研發成果產業化輔導計畫(2/4),食品安全與食品科技,食品安全與食品科技
新竹科學工業園區－業務推展(1/4),園區管理,園區管理
大學學習生態系統創新計畫(3/4),校園人才培育,校園人才培育
工業循環創新技術開發與應用計畫(2/4),化工材料與循環經濟,化工材料與循環經濟
能源國家型科技計畫-自主式分散型區域電力控管技術發展與應用(1/4),能源,能源
醫療器材產業加速新創與躍升國際推動計畫(2/4),生技醫藥與精準醫療,生技醫藥與精準醫療
優化中小企業科技加值應用環境之策略佈局計畫(4/4),政策規劃與推動,政策規劃與推動
智慧內容創新應用發展計畫(1/4),數位內容,數位內容
高中職學術連網全面優化頻寬提升計畫(3/4),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G
普及國民寬頻上網環境計畫(3/4),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G
颱風洪水研究發展計畫(1/4),災害防救,災害防救
傳統產業亮點維新計畫(3/4),傳統產業高值化,傳統產業高值化
雲世代產業數位轉型(1/4)-輔導小微型企業數位轉型及永續發展計畫,數位轉型與智慧政府,數位轉型與智慧政府
國立中科實驗高級中學維運計畫(1/1),校園人才培育,校園人才培育
紡織產業科技發展綱要計畫(材料化工之民生應用產業發展綱要計畫)(1/4),化工材料與循環經濟,化工材料與循環經濟
創新前瞻技術研究綱要計畫(2/4),工研院與A+,
放射性廢棄物貯存與處置安全管制技術發展(3/4),能源,能源
技術服務業發展計畫(3/4),設計,設計
促進健康老化(Healthy Aging)及產業升級：新藥及保健食品之研發(4/4),生技醫藥與精準醫療,生技醫藥與精準醫療
推動數位經濟發展之通訊傳播匯流政策及法制革新計畫(1/5),政策規劃與推動,政策規劃與推動
因應食安五環建構校園午餐之農安監控及供應體系(2/4)-健全科技支援體系,食品安全與食品科技,食品安全與食品科技
新世代農業生物保護劑之開發(2/4),農業,農業
國家生技研究園區開發計畫(3/6),生技醫藥與精準醫療,生技醫藥與精準醫療
能源國家型科技計畫-再生能源產業推動計畫(2/4),能源,能源
次世代環境智能系統技術研發與應用推動計畫(2/4),虛擬實境;物聯網,虛擬實境;物聯網
新世代化學材料產業輔導與推廣計畫(1/4),化工材料與循環經濟,化工材料與循環經濟
氣象資訊之智慧應用服務計畫(I)(4/4),災害防救,災害防救
金屬產業發展推動計畫(1/4),傳統產業高值化,傳統產業高值化
材料與化工產業發展優化計畫(1/4),化工材料與循環經濟,化工材料與循環經濟
產業結構優化躍升計畫(4/4),中小（堅）企業輔導,中小（堅）企業輔導
建築資訊整合分享與應用研發推廣計畫(1/4)-Building Information Modeling,災害防救,災害防救
建構高值化農產素材開發與產業鏈結服務計畫(2/4),食品安全與食品科技,食品安全與食品科技
人工智慧技術拔尖與產業領航計畫(3/4),AI、雲端、巨量資料,AI、雲端、巨量資料
中小企業服務優化與特色加值計畫(3/4),中小（堅）企業輔導,中小（堅）企業輔導
資通訊軟體創新人才推升計畫(1/4),AI、雲端、巨量資料;產業人才培育,AI、雲端、巨量資料;產業人才培育
網路社群創新型服務發展計畫(3/4),電商與物流,電商與物流
數位內容跨域創新應用推動計畫(3/4),數位內容,數位內容
台灣罕病及難症之診斷治療與藥物開發(1/4),生技醫藥與精準醫療,生技醫藥與精準醫療
臺灣經典電影數位修復及加值利用計畫(1/4),數位內容,數位內容
機械與運輸產業科技發展綱要計畫(4/4),傳統產業高值化;運輸載具,傳統產業高值化;運輸載具
發展畜禽產業加值及永續友善環境綱要計畫(1/4),農業,農業
數據創新服務生態系推動計畫(4/4),AI、雲端、巨量資料,AI、雲端、巨量資料
生醫科技研發與驗證計畫(1/4),生技醫藥與精準醫療,生技醫藥與精準醫療
我國產業政策研究規劃及推動計畫(3/4),政策規劃與推動,政策規劃與推動
亞洲．矽谷試驗場域計畫(3/4),創新創業,創新創業
再生水資源創新膜材及系統開發與驗證綱要計畫(4/4),化工材料與循環經濟,化工材料與循環經濟
校園無線網路環境建置計畫(原計畫名稱：校園雲端環境建置計畫)(4/4),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G
產業永續發展計畫(2/4),氣候變遷與減碳,氣候變遷與減碳
創新循環綠建築環境科技計畫(2/4),氣候變遷與減碳,氣候變遷與減碳
加速行動寬頻服務及產業發展計畫(3/3)-建構相關APP行動商務與本土數位內容計畫,數位內容,數位內容
國家科技發展創新及前瞻策略先期推動計畫(1/1),政策規劃與推動,政策規劃與推動
基礎語文及多元文化能力培育計畫(1/4),校園人才培育,校園人才培育
韌性防災與氣候變遷水環境風險評估研究(1/4),災害防救,災害防救
輻射災害防救與應變技術之研究發展(4/4),災害防救,災害防救
跨虛實科技人文計算平台(2/4),AI、雲端、巨量資料;虛擬實境,AI、雲端、巨量資料;虛擬實境
健康雲跨領域研究:巨量健康資訊科技之研發與應用(4/4),生技醫藥與精準醫療,生技醫藥與精準醫療
推動客家雲端服務暨建立基礎資料計畫(2/3),數位轉型與智慧政府,數位轉型與智慧政府
生技醫藥國家型科技計畫-核心設施及產業推動(4/6),生技醫藥與精準醫療,生技醫藥與精準醫療
建構臺灣海象及氣象災防環境服務系統(2/4),災害防救,災害防救
小型企業創新研發綱要計畫(SBIR)(2/4),創新創業,創新創業
台灣重要新興感染症研究(II)(1/5),防疫,防疫
生技蛋白藥開發四年計畫(2/4),生技醫藥與精準醫療,生技醫藥與精準醫療
建築技術多元創新與推廣應用精進計畫(2/4),災害防救,災害防救
新竹科學工業園區業務推展(1/1),園區管理,園區管理
建築防火安全工程創新科技及應用研發計畫(4/4),災害防救,災害防救
給水與用水管理技術發展計畫(4/4),水資源管理,水資源管理
完善生醫生態體系創新發展計畫(4/4),生技醫藥與精準醫療,生技醫藥與精準醫療
商業環境優化與產業創新推動計畫(1/1),中小（堅）企業輔導,中小（堅）企業輔導
農業生技產業化之推動及輔導計畫(1/4),創新創業,創新創業
因應虛擬世界法規調適商業法制環境建置計畫(1/1),政策規劃與推動,政策規劃與推動
地價查估技術精進與實價登錄資料應用發展計畫(1/5),數位轉型與智慧政府,數位轉型與智慧政府
深度減碳，邁向永續社會(1/4),氣候變遷與減碳,氣候變遷與減碳
食品產業多元化及加值應用研發綱要計畫(2/4),食品安全與食品科技,食品安全與食品科技
太空科技發展與服務計畫(1/4),太空/衛星,太空/衛星
產學育成加速卓越計畫(1/4),創新創業,創新創業
發展小區域災害性天氣即時預報系統(3/4),災害防救,災害防救
105年度5家無線電視台數位頻道及公視HiHD頻道衛星上鏈計畫(1/1),文化,文化
產業運籌服務化推動計畫(4/4),電商與物流,創新創業
智慧電子產業推動計畫(3/4),智慧顯示器,智慧顯示器
醫衛生命科技研究計畫(3/4),生技醫藥與精準醫療,生技醫藥與精準醫療
研究船能量重建及海研五號事件緊急因應計畫(4/4),海洋科技,海洋科技
培育優秀學者及團隊計畫(4/4),人才補助與延攬,人才補助與延攬
小型企業創新研發綱要計畫(SBIR)(4/4),創新創業,創新創業
儀器科技發展計畫(1/4),科研設施,科研設施
原子能科技學術合作研究計畫(1/1),能源,能源
創新前瞻技術研究綱要計畫(3/4),工研院與A+,工研院與A+
原子能科技學術合作研究計畫(1/1),能源,能源
建構雲端服務及大數據運算平台計畫(2/4),AI、雲端、巨量資料,AI、雲端、巨量資料
標竿新產品創新研發輔導計畫(1/4),創新創業,創新創業
加速行動寬頻服務及產業發展計畫(2/3)-故宮4G行動博物館,文化,文化
臺灣南段山區地下水資源調查(4/4),水資源管理,水資源管理
消防5G場域計畫(1/3),網路通訊/4G/5G/5G+/6G,災害防救
新媒體跨平台內容產製計畫(1/4),數位內容,數位內容
臺灣資安卓越深耕-先進網路鑑識計畫(1/4),資安,警政與法務
104年服務業創新研發計畫(2/4),中小（堅）企業輔導,創新創業
科技服務系統研發與實證加值綱要計畫(3/3),設計,設計
中部科學工業園區業務推展計畫(1/1),園區管理,園區管理
食品科技發展綱要計畫(2/4),食品安全與食品科技,食品安全與食品科技
次世代醫用3D放射造影儀技術開發及應用(3/4),生技醫藥與精準醫療,生技醫藥與精準醫療
高速計算與網路應用研究計畫(1/4),AI、雲端、巨量資料,AI、雲端、巨量資料
加速行動寬頻服務及產業發展計畫(1/1)-因應4G 臨時通訊監察後端系統功能提昇專案,網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G
建築工程技術發展與整合應用計畫(3/4),災害防救,災害防救
科技政策研究與知識庫服務計畫(1/4),政策規劃與推動,政策規劃與推動
健康福祉科技整合照護示範場域推動計畫(3/4),長照與社會福利,長照與社會福利
科技管理科技發展綱要計畫(2/4),政策規劃與推動,
生醫產業商品化人才培育計畫(1/2),生技醫藥與精準醫療,生技醫藥與精準醫療
高齡者安全安心生活環境科技發展中程個案計畫(2/4),長照與社會福利,長照與社會福利
關鍵材料技術輔導與推廣計畫(4/4),化工材料與循環經濟,化工材料與循環經濟
國際合作科技發展綱要計畫(3/4),農業,農業
精進放射性廢棄物貯存與處置安全管制技術發展(1/4),能源,能源
數據創新服務生態系推動計畫(2/4),AI、雲端、巨量資料,AI、雲端、巨量資料
特定地區群聚產業轉型升級計畫(4/4),中小（堅）企業輔導,中小（堅）企業輔導
建立智慧化大型汽車鈑金模具試模中心之服務能量(1/3),運輸載具,傳統產業高值化;運輸載具
智慧創新研究中心推升計畫(3/5),AI、雲端、巨量資料,AI、雲端、巨量資料
培育優秀學者養成計畫(3/4),人才補助與延攬,人才補助與延攬
全國職業安全衛生智能發展計畫(2/4),職安,職安
校園雲端環境建置計畫(1/4),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G
福爾摩沙衛星三號後續計畫(4/4),太空/衛星,太空/衛星
社群分享商務推動發展計畫(2/4),電商與物流,電商與物流
因應貿易自由化加強產業輔導計畫(1/4),中小（堅）企業輔導,中小（堅）企業輔導
加速行動寬頻服務及產業發展計畫(1/1)-穿戴式裝置小蘋果園計畫,網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G
交通技術發展規劃研究第二期計畫(3/4),政策規劃與推動,政策規劃與推動
E化領域科技發展綱要計畫(2/4),智慧農業,智慧農業
特定地區群聚產業轉型升級計畫(3/4),中小（堅）企業輔導,中小（堅）企業輔導
流通服務智慧化推動計畫(1/4),電商與物流,電商與物流
太空科技發展與服務計畫(2/4),太空/衛星,太空/衛星
5G釋照作業規劃及頻譜整備改善措施計畫(1/2),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G
水文觀測技術提昇與發展計畫(3/4),水資源管理,水資源管理
策略性產業人力資源發展與推動計畫(3/4),產業人才培育,產業人才培育
區域創新走廊產業科技發展綱要計畫(2/4),傳統產業高值化,傳統產業高值化
流行時尚產業科技應用與高值化輔導推動計畫(4/4),設計,設計
智慧電子國家型科技計畫-智慧電子整合性人才培育計畫(5/5),產業人才培育;晶片半導體,產業人才培育;晶片半導體
再生醫學科技發展計畫(1/4),生技醫藥與精準醫療,生技醫藥與精準醫療
新穎標靶之創新藥物研究與開發(1/4),生技醫藥與精準醫療,生技醫藥與精準醫療
亞洲‧矽谷推動平臺計畫(4/4)(4/4),創新創業,創新創業
服務型智慧政府推動計畫-修正第五階段電子化政府計畫(106年-109年)(3/4),數位轉型與智慧政府,數位轉型與智慧政府
多通路物流服務推動計畫(4/4),電商與物流,電商與物流
建構動植物健康安全防護網絡(3/4),防疫,防疫
科技服務系統研發、實證與美學設計加值綱要計畫(1/4),設計,設計
生技醫藥產業科技發展綱要計畫(4/4),生技醫藥與精準醫療,生技醫藥與精準醫療
潔能系統整合與應用人才培育計畫(3/4),產業人才培育;能源,產業人才培育;能源
關鍵材料技術輔導與推廣計畫(2/4),化工材料與循環經濟,化工材料與循環經濟
新工程教育方法實驗與建構計畫(2/4),校園人才培育,校園人才培育
台灣光子源(TPS)運轉維護計畫(1/1),科研設施,科研設施
南科航太關鍵系統技術升級推動計畫(3/4),太空/衛星,太空/衛星
健全專利檢索中心發展計畫(1/4),專利與智財,專利與智財
數位科技與視覺藝術共構發展計畫(3/3),文化,文化
生醫轉譯及新藥研發計畫(2/4),生技醫藥與精準醫療,生技醫藥與精準醫療
產業結構優化躍升計畫(1/4),中小（堅）企業輔導,中小（堅）企業輔導
台灣光子源光束線實驗設施建置計畫(1/6)-第三期,科研設施,科研設施
關鍵製造業製程高值化拔尖計畫(1/4),智慧製造,智慧製造
年輕學者養成計畫(110-113年)(1/4),人才補助與延攬,人才補助與延攬
新竹生物醫學園區計畫-新竹生醫園區分院(2/5)-109科技預算,生技醫藥與精準醫療,生技醫藥與精準醫療
5G產業技術拔尖計畫(1/4),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G
加速肝功能量化正子造影劑之產業化(1/4),生技醫藥與精準醫療,生技醫藥與精準醫療
國際合作科技發展綱要計畫(2/4),農業,農業
區域水文地質特性與地下水補注模式研究(4/4),水資源管理,水資源管理
水體環境污染感測、鑑識調查與物聯網應用研究開發計畫(4/4),環境監測與污染防治,環境監測與污染防治
5家無線電視台數位頻道及公視HiHD頻道衛星上鏈計畫(1/1),文化,文化
建立農業生產資源及生態環境友善管理新模式(4/4),智慧農業,智慧農業
加速行動寬頻服務及產業發展計畫(2/3)-建構原住民族地區4G及無線寬頻環境,網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G
生醫產業商品化人才培育計畫(2/4),生技醫藥與精準醫療,生技醫藥與精準醫療
產業創新價值卓越計畫(1/4),中小（堅）企業輔導,中小（堅）企業輔導
綠能科技產業推動發展計畫(3/4),能源,能源
科技決策支援暨科技計畫專案管理與評估機制推動計畫(1/1),政策規劃與推動,政策規劃與推動
新型態產學研鏈結旗艦計畫(2/4),創新創業,創新創業
智慧積層製造(3D列印)跨領域研究計畫(2/4),智慧製造,智慧製造
台灣環境毒物健康危害之監測、評估及對策研究(3/4),環境監測與污染防治,環境監測與污染防治
法務部測謊偵查效能精進暨服務躍升計畫(1/2),警政與法務,警政與法務
原子能科技學術合作研究計畫(1/1),能源,能源
強化核能電廠除役管制技術及環境輻射之研究(3/4),能源,能源
韌性防災調適與評估研究(3/4),災害防救,災害防救
整合與提升我國食媒性疾病及其病原監測防護網計畫(3/4),防疫,防疫
十二年一貫綠色科技明日典範學校(3/4),校園人才培育,校園人才培育
生物經濟產業發展方案- 食品產業創新與優化推動計畫(3/4),食品安全與食品科技,食品安全與食品科技
國家資通安全防護整合服務計畫(1/1),資安,資安
生技特色醫藥產業鏈結國際推升計畫(2/4),生技醫藥與精準醫療,生技醫藥與精準醫療
關鍵材料技術輔導與推廣計畫(3/4),化工材料與循環經濟,化工材料與循環經濟
下世代無線通訊毫米波射頻前端電路設計/製造/量測技術發展(4/4),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G
健全專利檢索運用環境計畫(3/4),專利與智財,專利與智財
擴大與強化共同使用服務平台(1/4)-﹝擴大並強化『貴重儀器共同使用服務計畫』﹞及﹝建置多物種標準化動物試驗設施服務平台﹞,科研設施,科研設施
建築技術多元創新與推廣應用精進計畫(3/4),災害防救,災害防救
參與先進國際標準制定、研析國際標準調和國家標準及活絡產業標準(3/4),國家標準檢驗,國家標準檢驗
亞洲生產力組織綠色卓越中心計畫(2/4),創新創業,創新創業
105年度「再生能源發展與推廣計畫」(1/1),能源,能源
新學校午餐創新推動計畫(3/4),食品安全與食品科技,食品安全與食品科技
次世代環境智能系統技術研發與應用推動計畫(3/4),虛擬實境;物聯網,虛擬實境;物聯網
科技顧問及產業策略會議推動計畫(1/1),政策規劃與推動,政策規劃與推動
沙崙綠能科學城-綠能科技產業化技術驗證平台(2/3),能源,能源
推動5G提升智慧交通服務效能與安全計畫(1/5),智慧交通,網路通訊/4G/5G/5G+/6G
智慧機械產業智慧升級計畫(1/4),智慧製造,智慧製造
發展新世代台灣癌症之精準醫療路徑圖(1/4),生技醫藥與精準醫療,生技醫藥與精準醫療
華文電子商務暨交易安全推動計畫(4/5),電商與物流,電商與物流
國家圖書館學術性引用文獻資料擴增建置計畫(3/4),數位轉型與智慧政府,數位轉型與智慧政府
創新診療暨影像醫學用醫療器材關鍵技術開發計畫(2/4),生技醫藥與精準醫療,生技醫藥與精準醫療
水文觀測技術提昇與發展(2/4),水資源管理,水資源管理
商業服務業發展研究能量建置計畫(4/4),中小（堅）企業輔導,中小（堅）企業輔導
生技醫藥國家型科技計畫(6/6)-臨床前暨臨床試驗綱要計畫,生技醫藥與精準醫療,生技醫藥與精準醫療
健全專利檢索中心發展計畫(2/4),專利與智財,專利與智財
生技整合及育成能量提升計畫(1/4),生技醫藥與精準醫療,生技醫藥與精準醫療
飲用水水源及水質標準項目之調查及評估(3/3),環境監測與污染防治,水資源管理
建構因應氣候變遷之韌性農業體系研究(2/4),氣候變遷與減碳;農業,氣候變遷與減碳;農業
(展延至108/05/31)文化內容科技應用創新產業領航旗艦計畫(2/4),數位內容,數位內容
蚊媒傳染病防治研究聚落之合作體系(4/4),防疫,防疫
產業先進設備人才培育計畫(4/4),智慧製造,產業人才培育
新興農業生物技術(4/4)-增進農業產值之前瞻高階技術平臺建置及開發,農業生技,農業生技
建置優質照護服務體系(2/4),長照與社會福利,長照與社會福利
台澳中子設施運轉維護計畫(1/1),科研設施,科研設施
台灣環境毒物健康危害之監測、評估及對策研究(2/4),環境監測與污染防治,環境監測與污染防治
中南部雷射與金屬產業高值應用暨系統技術發展綱要計畫(1/4),傳統產業高值化,傳統產業高值化
交通資訊服務雲基礎建設與應用計畫(3/4),數位轉型與智慧政府,智慧交通
培訓產業創新暨人力加值計畫(1/4),產業人才培育,產業人才培育
亞洲矽谷創新創業鏈結計畫(1/4),創新創業,創新創業
建構安全的食品體系：供應鏈透明化(1/4),食品安全與食品科技,食品安全與食品科技
新興中小企業政策決策知識與創新服務加值計畫(4/4),政策規劃與推動,政策規劃與推動
推動中小企業智慧領航拓銷國際計畫(1/4),數位轉型與智慧政府,數位轉型與智慧政府
科技發展趨勢分析與資訊服務計畫(1/4),政策規劃與推動,政策規劃與推動
能源科技人才培育計畫(2/4),產業人才培育;能源,產業人才培育;能源
培訓產業創新暨人力加值計畫(3/4),產業人才培育,產業人才培育
石化產業高値化系統技術與應用發展計畫(4/4),化工材料與循環經濟,化工材料與循環經濟
會計資訊品質提升計畫(1/4),中小（堅）企業輔導,中小（堅）企業輔導
推動中小企業雲端創新應用發展計畫(1/4),數位轉型與智慧政府,數位轉型與智慧政府
私立大學校院發展研發特色專案計畫(4/4),人才補助與延攬,人才補助與延攬
海洋環境調查運用、海洋技術研發與海洋產業發展(1/1),海洋科技,海洋科技
財團法人國家同步輻射研究中心運轉維護計畫(1/1),科研設施,科研設施
氣象領域維運與技術發展計畫(II)(1/6),災害防救,災害防救
學術攻頂研究計畫(1/1),科研計畫補助,科研計畫補助
推動兩岸標準計量檢驗認證合作計畫(1/4),國家標準檢驗,國家標準檢驗
地震工程之運作及發展計畫(1/4),災害防救,災害防救
國立科學工業園區實驗高級中學綠能科技教學拓展計畫(2/2),校園人才培育,校園人才培育
